Date : 2025-12-08 00:58:06
Directory : /Users/vajrap/workspace/MyProject
Total : 1241 files,  607665 codes, 60503 comments, 21300 blanks, all 689468 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Client/webapp/.next/dev/server/app/character-creation/page                                                                                                         |          5 |         36 |          0 |          0 |         36 |
| Client/webapp/.next/dev/server/app/game                                                                                                                            |         14 |        102 |          0 |          4 |        106 |
| Client/webapp/.next/dev/server/app/game (Files)                                                                                                                    |          2 |         15 |          0 |          2 |         17 |
| Client/webapp/.next/dev/server/app/game/mock                                                                                                                       |          7 |         51 |          0 |          2 |         53 |
| Client/webapp/.next/dev/server/app/game/mock (Files)                                                                                                               |          2 |         15 |          0 |          2 |         17 |
| Client/webapp/.next/dev/server/app/game/mock/page                                                                                                                  |          5 |         36 |          0 |          0 |         36 |
| Client/webapp/.next/dev/server/app/game/page                                                                                                                       |          5 |         36 |          0 |          0 |         36 |
| Client/webapp/.next/dev/server/app/login                                                                                                                           |          7 |         51 |          0 |          2 |         53 |
| Client/webapp/.next/dev/server/app/login (Files)                                                                                                                   |          2 |         15 |          0 |          2 |         17 |
| Client/webapp/.next/dev/server/app/login/page                                                                                                                      |          5 |         36 |          0 |          0 |         36 |
| Client/webapp/.next/dev/server/app/page                                                                                                                            |          5 |         36 |          0 |          0 |         36 |
| Client/webapp/.next/dev/server/app/register                                                                                                                        |          7 |         51 |          0 |          2 |         53 |
| Client/webapp/.next/dev/server/app/register (Files)                                                                                                                |          2 |         15 |          0 |          2 |         17 |
| Client/webapp/.next/dev/server/app/register/page                                                                                                                   |          5 |         36 |          0 |          0 |         36 |
| Client/webapp/.next/dev/server/chunks                                                                                                                              |         75 |    275,588 |     29,396 |      3,107 |    308,091 |
| Client/webapp/.next/dev/server/chunks (Files)                                                                                                                      |          7 |     26,814 |      2,831 |        278 |     29,923 |
| Client/webapp/.next/dev/server/chunks/ssr                                                                                                                          |         68 |    248,774 |     26,565 |      2,829 |    278,168 |
| Client/webapp/.next/dev/server/pages                                                                                                                               |         16 |        103 |          0 |          3 |        106 |
| Client/webapp/.next/dev/server/pages (Files)                                                                                                                       |          3 |         17 |          0 |          3 |         20 |
| Client/webapp/.next/dev/server/pages/_app                                                                                                                          |          5 |         38 |          0 |          0 |         38 |
| Client/webapp/.next/dev/server/pages/_document                                                                                                                     |          3 |         10 |          0 |          0 |         10 |
| Client/webapp/.next/dev/server/pages/_error                                                                                                                        |          5 |         38 |          0 |          0 |         38 |
| Client/webapp/.next/dev/static                                                                                                                                     |         73 |    205,472 |     21,443 |      2,236 |    229,151 |
| Client/webapp/.next/dev/static/chunks                                                                                                                              |         70 |    205,456 |     21,443 |      2,236 |    229,135 |
| Client/webapp/.next/dev/static/chunks (Files)                                                                                                                      |         68 |    205,430 |     21,443 |      2,234 |    229,107 |
| Client/webapp/.next/dev/static/chunks/pages                                                                                                                        |          2 |         26 |          0 |          2 |         28 |
| Client/webapp/.next/dev/static/development                                                                                                                         |          3 |         16 |          0 |          0 |         16 |
| Client/webapp/.next/dev/types                                                                                                                                      |          3 |        157 |        158 |         45 |        360 |
| Client/webapp/app                                                                                                                                                  |         19 |      3,174 |        162 |        309 |      3,645 |
| Client/webapp/app (Files)                                                                                                                                          |          2 |         23 |          0 |          5 |         28 |
| Client/webapp/app/api                                                                                                                                              |          2 |         52 |          1 |         10 |         63 |
| Client/webapp/app/api/test-login                                                                                                                                   |          1 |         25 |          0 |          5 |         30 |
| Client/webapp/app/api/test-register                                                                                                                                |          1 |         27 |          1 |          5 |         33 |
| Client/webapp/app/character-creation                                                                                                                               |          4 |      1,603 |         79 |        131 |      1,813 |
| Client/webapp/app/components                                                                                                                                       |          1 |         12 |          0 |          4 |         16 |
| Client/webapp/app/game                                                                                                                                             |          3 |        142 |         19 |         22 |        183 |
| Client/webapp/app/game (Files)                                                                                                                                     |          2 |        136 |         12 |         18 |        166 |
| Client/webapp/app/game/mock                                                                                                                                        |          1 |          6 |          7 |          4 |         17 |
| Client/webapp/app/login                                                                                                                                            |          3 |        522 |         24 |         58 |        604 |
| Client/webapp/app/register                                                                                                                                         |          3 |        749 |         36 |         75 |        860 |
| Client/webapp/app/theme                                                                                                                                            |          1 |         71 |          3 |          4 |         78 |
| Client/webapp/dist                                                                                                                                                 |          3 |        524 |         77 |         98 |        699 |
| Client/webapp/dist (Files)                                                                                                                                         |          2 |        241 |         10 |         53 |        304 |
| Client/webapp/dist/assets                                                                                                                                          |          1 |        283 |         67 |         45 |        395 |
| Client/webapp/public                                                                                                                                               |          1 |        117 |          0 |         34 |        151 |
| Client/webapp/src                                                                                                                                                  |         49 |     10,008 |      1,007 |        946 |     11,961 |
| Client/webapp/src (Files)                                                                                                                                          |          3 |         88 |          3 |         17 |        108 |
| Client/webapp/src/L10N                                                                                                                                             |          4 |        855 |        272 |         87 |      1,214 |
| Client/webapp/src/components                                                                                                                                       |         18 |      3,324 |        129 |        245 |      3,698 |
| Client/webapp/src/components (Files)                                                                                                                               |          1 |        286 |         12 |         23 |        321 |
| Client/webapp/src/components/Alert                                                                                                                                 |          2 |        283 |          7 |         18 |        308 |
| Client/webapp/src/components/GameView                                                                                                                              |          8 |      1,926 |         94 |        126 |      2,146 |
| Client/webapp/src/components/MusicPlayer                                                                                                                           |          7 |        829 |         16 |         78 |        923 |
| Client/webapp/src/components/MusicPlayer (Files)                                                                                                                   |          3 |        121 |          1 |          5 |        127 |
| Client/webapp/src/components/MusicPlayer/components                                                                                                                |          3 |        529 |          9 |         36 |        574 |
| Client/webapp/src/components/MusicPlayer/hooks                                                                                                                     |          1 |        179 |          6 |         37 |        222 |
| Client/webapp/src/config                                                                                                                                           |          1 |        101 |         16 |          8 |        125 |
| Client/webapp/src/data                                                                                                                                             |          1 |        528 |         40 |         63 |        631 |
| Client/webapp/src/localization                                                                                                                                     |          1 |        987 |         18 |         47 |      1,052 |
| Client/webapp/src/services                                                                                                                                         |          4 |        519 |         74 |         83 |        676 |
| Client/webapp/src/styles                                                                                                                                           |          2 |        363 |         19 |         19 |        401 |
| Client/webapp/src/theme                                                                                                                                            |          2 |        307 |        147 |         12 |        466 |
| Client/webapp/src/types                                                                                                                                            |          4 |        601 |         77 |         74 |        752 |
| Client/webapp/src/utils                                                                                                                                            |          3 |        400 |        105 |         72 |        577 |
| Client/webapp/src/viewmodels                                                                                                                                       |          2 |        382 |         54 |         80 |        516 |
| Client/webapp/src/views                                                                                                                                            |          4 |      1,553 |         53 |        139 |      1,745 |
| Doc                                                                                                                                                                |          5 |        808 |          0 |        220 |      1,028 |
| Server                                                                                                                                                             |        845 |     87,561 |      7,593 |     11,879 |    107,033 |
| Server (Files)                                                                                                                                                     |          8 |     10,693 |          5 |        707 |     11,405 |
| Server/Common                                                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| Server/Common/Text                                                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| Server/Tests                                                                                                                                                       |         29 |      8,025 |      1,087 |      1,569 |     10,681 |
| Server/Tests (Files)                                                                                                                                               |          1 |        402 |         44 |         56 |        502 |
| Server/Tests/API                                                                                                                                                   |          1 |        645 |         52 |        128 |        825 |
| Server/Tests/Entity                                                                                                                                                |         19 |      5,973 |        899 |      1,183 |      8,055 |
| Server/Tests/Entity/Battle                                                                                                                                         |          4 |      1,234 |        189 |        287 |      1,710 |
| Server/Tests/Entity/Character                                                                                                                                      |          6 |      1,779 |         55 |        357 |      2,191 |
| Server/Tests/Entity/Character (Files)                                                                                                                              |          1 |        399 |          9 |         66 |        474 |
| Server/Tests/Entity/Character/Subclass                                                                                                                             |          5 |      1,380 |         46 |        291 |      1,717 |
| Server/Tests/Entity/Character/Subclass/Alignment                                                                                                                   |          1 |        319 |          0 |         25 |        344 |
| Server/Tests/Entity/Character/Subclass/Stats                                                                                                                       |          2 |        461 |         19 |        104 |        584 |
| Server/Tests/Entity/Character/Subclass/Title                                                                                                                       |          1 |        101 |          0 |         17 |        118 |
| Server/Tests/Entity/Character/Subclass/Vitals                                                                                                                      |          1 |        499 |         27 |        145 |        671 |
| Server/Tests/Entity/Location                                                                                                                                       |          2 |      1,527 |         40 |        161 |      1,728 |
| Server/Tests/Entity/Market                                                                                                                                         |          3 |        253 |        542 |        181 |        976 |
| Server/Tests/Entity/News                                                                                                                                           |          1 |        403 |         32 |         83 |        518 |
| Server/Tests/Entity/Skill                                                                                                                                          |          1 |        356 |          1 |         11 |        368 |
| Server/Tests/Entity/Weather                                                                                                                                        |          2 |        421 |         40 |        103 |        564 |
| Server/Tests/Event                                                                                                                                                 |          2 |        273 |         22 |         57 |        352 |
| Server/Tests/Game                                                                                                                                                  |          1 |        112 |          0 |         30 |        142 |
| Server/Tests/Helper                                                                                                                                                |          1 |        198 |         14 |         16 |        228 |
| Server/Tests/Services                                                                                                                                              |          1 |        331 |         24 |         75 |        430 |
| Server/Tests/Utils                                                                                                                                                 |          3 |         91 |         32 |         24 |        147 |
| Server/scripts                                                                                                                                                     |          6 |      1,120 |        134 |        215 |      1,469 |
| Server/src                                                                                                                                                         |        801 |     67,718 |      6,367 |      9,387 |     83,472 |
| Server/src (Files)                                                                                                                                                 |          1 |         76 |         10 |         11 |         97 |
| Server/src/API                                                                                                                                                     |         16 |      1,947 |        120 |        244 |      2,311 |
| Server/src/API (Files)                                                                                                                                             |          1 |         18 |          2 |          2 |         22 |
| Server/src/API/actions                                                                                                                                             |          1 |        433 |         67 |         68 |        568 |
| Server/src/API/auth                                                                                                                                                |          1 |         53 |          2 |         11 |         66 |
| Server/src/API/character                                                                                                                                           |          1 |        220 |         17 |         27 |        264 |
| Server/src/API/characterCreation                                                                                                                                   |          7 |        924 |         11 |         91 |      1,026 |
| Server/src/API/guest                                                                                                                                               |          1 |          5 |          1 |          2 |          8 |
| Server/src/API/login                                                                                                                                               |          1 |        105 |          6 |         12 |        123 |
| Server/src/API/networkTest                                                                                                                                         |          1 |         11 |          0 |          2 |         13 |
| Server/src/API/party                                                                                                                                               |          1 |         92 |          9 |         20 |        121 |
| Server/src/API/register                                                                                                                                            |          1 |         86 |          5 |          9 |        100 |
| Server/src/Database                                                                                                                                                |         36 |      6,193 |        252 |        254 |      6,699 |
| Server/src/Database (Files)                                                                                                                                        |          4 |        687 |         52 |         89 |        828 |
| Server/src/Database/Schema                                                                                                                                         |         11 |        291 |         97 |         90 |        478 |
| Server/src/Database/Services                                                                                                                                       |          1 |        149 |         45 |         29 |        223 |
| Server/src/Database/migrations                                                                                                                                     |         20 |      5,066 |         58 |         46 |      5,170 |
| Server/src/Database/migrations (Files)                                                                                                                             |         12 |        444 |         58 |         46 |        548 |
| Server/src/Database/migrations/meta                                                                                                                                |          8 |      4,622 |          0 |          0 |      4,622 |
| Server/src/Entity                                                                                                                                                  |        657 |     51,588 |      5,065 |      7,784 |     64,437 |
| Server/src/Entity/Battle                                                                                                                                           |          9 |      2,470 |        398 |        423 |      3,291 |
| Server/src/Entity/Blueprint                                                                                                                                        |         51 |      1,844 |          0 |        231 |      2,075 |
| Server/src/Entity/Blueprint (Files)                                                                                                                                |          5 |        610 |          0 |         25 |        635 |
| Server/src/Entity/Blueprint/Equipment                                                                                                                              |         40 |        781 |          0 |        140 |        921 |
| Server/src/Entity/Blueprint/Equipment/Armor                                                                                                                        |          6 |        285 |          0 |         38 |        323 |
| Server/src/Entity/Blueprint/Equipment/Weapon                                                                                                                       |         34 |        496 |          0 |        102 |        598 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Axe                                                                                                                   |          3 |         48 |          0 |          9 |         57 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Blade                                                                                                                 |          4 |         64 |          0 |         12 |         76 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Bow                                                                                                                   |          3 |         40 |          0 |          9 |         49 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Dagger                                                                                                                |          2 |         32 |          0 |          6 |         38 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Hammer                                                                                                                |          4 |         64 |          0 |         12 |         76 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Orb                                                                                                                   |          1 |         12 |          0 |          3 |         15 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Shield                                                                                                                |          3 |         40 |          0 |          9 |         49 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Spear                                                                                                                 |          3 |         48 |          0 |          9 |         57 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Staff                                                                                                                 |          3 |         36 |          0 |          9 |         45 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Sword                                                                                                                 |          4 |         64 |          0 |         12 |         76 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Tome                                                                                                                  |          3 |         36 |          0 |          9 |         45 |
| Server/src/Entity/Blueprint/Equipment/Weapon/Wand                                                                                                                  |          1 |         12 |          0 |          3 |         15 |
| Server/src/Entity/Blueprint/Ingot                                                                                                                                  |          1 |         97 |          0 |         10 |        107 |
| Server/src/Entity/Blueprint/Resource                                                                                                                               |          5 |        356 |          0 |         56 |        412 |
| Server/src/Entity/BreathingSkill                                                                                                                                   |          5 |        173 |         10 |         12 |        195 |
